variable,year,mean,sd,lower,upper
b_t,1950,7557.99974866464,18346.4371479603,2276.90989911107,20949.5359433163
b_t,1951,8437.57672092487,16009.3578018867,2428.74446293933,25580.4819513199
b_t,1952,8967.46962207778,18981.3110602033,2541.16226423852,27007.4415831176
b_t,1953,9427.51004639218,27388.3705501116,2585.76254408195,26283.335873681
b_t,1954,9506.6604800567,27086.7833364202,2617.49231056797,27032.9208233418
b_t,1955,9137.54738497107,19189.320749243,2675.90963880141,26810.0241092414
b_t,1956,9325.73427715237,24976.5278376823,2637.24630131279,27640.6631864557
b_t,1957,9150.88776538645,20683.495132795,2611.54067941903,26667.1981795509
b_t,1958,9295.6969784316,22079.699084845,2560.39587071511,26904.3723885327
b_t,1959,9471.64941737606,23411.6381024776,2677.25229779892,27802.8240315491
b_t,1960,9574.04112491771,30159.7711535159,2671.16654243,26087.1371749419
b_t,1961,9579.8226263898,22709.3468297787,2644.69085199718,27167.3948436391
b_t,1962,9233.89042139295,19328.8782046863,2634.12271677643,26870.292633054
b_t,1963,9673.33073279496,27512.1294230669,2557.06993866356,27708.1643063557
b_t,1964,9506.10923106953,21706.5844509264,2542.51996238048,28506.3714367039
b_t,1965,9413.98668364995,22840.1282913714,2593.01382158465,27208.2183493935
b_t,1966,9410.15488881411,22600.3040972229,2567.16757864805,27208.9011067787
b_t,1967,9652.8744791754,26203.5503304104,2616.65390505064,26118.6288737077
b_t,1968,9297.1127668069,19940.9726125707,2581.72279324145,24933.921837618
b_t,1969,9419.81562503548,22413.3666793782,2666.62694154688,28056.4439069327
b_t,1970,9774.26605244111,33548.4150223886,2702.12096179208,26315.1626217837
b_t,1971,9614.23916118875,25872.1951629896,2595.69934171765,25665.3762650064
b_t,1972,9399.39357728168,24215.9397878834,2586.32047384347,25912.2197167416
b_t,1973,9416.7356623351,23167.1850739389,2603.19922335236,27980.0473374934
b_t,1974,9413.21022881123,23113.419018821,2587.91860086162,27482.5173772521
b_t,1975,9122.30887096643,16662.3970455696,2570.97454888992,27762.14221263
b_t,1976,9351.47258196016,19807.7584724821,2645.62519801545,27590.8453972175
b_t,1977,9512.9171734821,23643.5979360256,2589.09652889806,26855.1234570017
b_t,1978,9332.08807507637,21077.5688246835,2612.20292980493,25579.2891679395
b_t,1979,9685.40248634913,27647.3296835743,2656.39628132872,25929.4662389496
b_t,1980,9454.89936722509,21382.134565057,2609.5777351016,25991.054915119
b_t,1981,9525.80579833796,23042.1929344525,2578.58430036952,26765.8390218061
b_t,1982,9505.70054463757,22432.5776506373,2620.84912582214,24869.4399825508
b_t,1983,9881.56857560762,28030.7955872549,2631.50388479296,27215.7830178829
b_t,1984,10095.7776798542,27579.7089209005,2791.47067308886,28769.8710954327
b_t,1985,10627.2873427445,26792.6807130134,2942.38011857745,29609.9161844218
b_t,1986,13915.6990810765,36312.2992954891,3685.07471491117,41118.2042991829
b_t,1987,10074.8637780546,22187.1369348553,2837.11007504272,27679.0529005181
b_t,1988,10110.026111991,32659.5352053415,2706.07535251738,26876.1520784886
