variable,year,mean,sd,lower,upper
b_t,1950,113626.207434363,128309.308623201,66521.2665459677,174734.145513089
b_t,1951,130129.299714344,145402.134766347,79896.7122134678,197789.183600283
b_t,1952,139602.742639434,144267.429454671,86742.7649898859,213959.159500571
b_t,1953,145382.61541015,159690.907572354,89706.8722678894,218511.80071343
b_t,1954,147149.001691806,158753.510390126,90288.2688670093,217434.267218721
b_t,1955,148776.72352608,166065.906092096,89724.347279291,232733.873740526
b_t,1956,149279.763753016,165760.936731805,90561.2525688712,230528.441945436
b_t,1957,150533.205994762,180405.721210954,90294.8087862103,226185.540530093
b_t,1958,149623.099821426,160250.634959535,90394.4231014642,232557.116934363
b_t,1959,149930.300571705,167079.174551444,90095.1800231655,237802.418332214
b_t,1960,149583.566771972,162037.101188426,90415.3736938786,233914.766696841
b_t,1961,149777.794944197,166059.731559822,90671.62341319,229348.688728274
b_t,1962,149679.508869298,172612.812409804,90624.0145628982,232320.150888642
b_t,1963,149371.560573771,172834.720661867,89284.1718690722,220313.510485408
b_t,1964,148794.047330386,167368.582877666,90866.3061855454,231838.800662273
b_t,1965,149947.309202065,167927.688109335,90808.0545720767,228323.836494551
b_t,1966,148743.760662772,161007.245327899,89303.2542633043,228117.126635463
b_t,1967,148426.778768952,164356.918752383,88857.7272971702,223481.330698893
b_t,1968,149320.300575589,183718.042123682,89012.6797329575,228045.611509408
b_t,1969,148226.179960805,172924.133684309,88028.3374621758,227522.19412242
b_t,1970,147100.811665548,169139.179138975,88268.4315912864,226280.112897887
b_t,1971,148020.914800382,178649.21458355,88628.7861472024,227884.140311283
b_t,1972,147060.68908918,174230.390041725,88924.6586552838,222765.941643355
b_t,1973,144832.678841665,164702.886906911,86924.0060214186,223048.480635146
b_t,1974,146515.928748894,172641.26705461,88012.0716087615,223469.134515519
b_t,1975,145894.363604449,172691.711896794,86841.0828516275,223700.764438013
b_t,1976,144879.81771911,169774.571136741,85679.9901163603,226806.165342458
b_t,1977,143244.980763589,165627.129090832,84673.4210617902,221251.525569094
b_t,1978,140927.495615429,166338.678804084,82257.3395848575,218045.584836113
b_t,1979,143181.055228551,163725.29853916,85839.5745635386,216896.87915389
b_t,1980,140446.394532326,167196.681772027,82820.9272133329,214633.357477248
b_t,1981,138615.744580046,160358.563977858,82344.0391093385,213589.552549785
b_t,1982,138378.444274293,174513.836690522,81369.0387801807,212944.033820511
b_t,1983,138885.842729433,172950.822448318,81521.1581063895,218192.988434576
b_t,1984,135585.807628823,159966.18930111,78806.6172900001,218156.490881253
b_t,1985,137555.639419935,161299.496078297,80835.6020410399,220469.238369463
b_t,1986,138088.071768165,162703.978039357,81938.5719010212,221107.154501799
b_t,1987,135593.190929891,170377.780998922,78703.8990830677,212367.629884909
b_t,1988,135112.606966695,170012.207204827,78767.7362428123,210491.433008064
b_t,1989,134094.287861304,156055.518699775,78358.1642685839,210343.903884144
b_t,1990,129940.686738177,156940.604201047,74857.6211093624,203333.295914795
b_t,1991,124132.461214793,156997.790795683,68955.6815845628,206872.742052561
b_t,1992,121687.202325191,166396.480976843,65815.1387219319,202333.453213699
b_t,1993,118712.474681087,175193.927232261,62653.6687109722,196337.144251562
b_t,1994,117712.135871347,187712.160930017,60759.6211348417,204344.04324237
b_t,1995,115959.004487737,192894.169274597,58245.9143154102,207598.209287229
b_t,1996,117216.959476523,198075.072218027,58536.303290393,209626.551014911
b_t,1997,105307.679079675,178714.231330648,49181.9612741226,196170.987029757
b_t,1998,105240.866835575,171795.950660676,49805.255691529,192932.370545146
b_t,1999,109421.657524389,180107.83201185,52242.5024113799,199991.32323025
b_t,2000,109293.045796656,185551.81104052,52758.9815810405,203605.366628184
b_t,2001,103577.387821792,174822.970893439,49046.284694553,192926.691953343
b_t,2002,100027.673803072,171775.683171735,46953.7607480423,187418.709300769
b_t,2003,100209.991260973,167658.914703653,47890.4974374403,182815.235121159
b_t,2004,104265.295805471,179658.762278679,49867.8060589616,190430.635944789
b_t,2005,92974.658988409,161572.911884064,42289.1419229261,178876.582997635
b_t,2006,100530.157074164,177864.134482853,48305.6015050655,183801.09907502
b_t,2007,83875.2534651026,149937.298718183,38675.9434742906,157305.540910427
b_t,2008,76755.9058722993,140480.602199421,34720.5242339295,141208.388150976
b_t,2009,85310.6822800503,146878.214960951,38948.5963761325,163801.503879154
b_t,2010,81442.87144943,162014.524229923,31963.622045499,166525.131962696
b_t,2011,79150.5104450462,167946.402355443,25457.3894868841,174113.452041898
b_t,2012,71239.2067648326,176385.768863908,12267.5316729493,171813.822561624
b_t,2013,59255.9445165412,181923.177658055,1.15238248413457e-06,169478.216426076
b_t,2014,53309.4522959596,186178.803793571,4.48268691059555e-07,166805.592818202
b_t,2015,44131.9804098045,175520.328311569,2.69864064891633e-07,160844.604563283
b_t,2016,38707.9576894779,167655.685166835,2.40199538308101e-07,154232.230170016
b_t,2017,36011.2212490937,178438.26245351,2.36034523418295e-07,141607.871729573
b_t,2018,32702.0448325809,164773.369703761,2.13541416660064e-07,137786.804911096
b_t,2019,31065.5090824275,166278.287455201,2.10037246953151e-07,123836.735525952
bmsy,1950,75654.3065336744,84732.2638778897,46444.8939357559,114403.39796144
ck,1950,0.00039788141313632,0.000100932800732698,0.000218524977840069,0.000538272302967926
ck,1951,0.00079576282627264,0.000201865601465397,0.000437049955680137,0.00107654460593585
ck,1952,0.00119364423940896,0.000302798402198095,0.000655574933520206,0.00161481690890378
ck,1953,0.00159152565254528,0.000403731202930793,0.000874099911360274,0.00215308921187171
