variable,year,mean,sd,lower,upper
b_t,1950,130174.906459423,148536.27976406,42263.7058502913,346994.534660149
b_t,1951,148158.1621004,169276.429027404,45041.2705366847,390906.724890288
b_t,1952,155357.806572679,198418.976835165,47400.2753450861,399195.325010613
b_t,1953,159368.101821154,189731.435049611,46936.5679658033,423321.918182845
b_t,1954,162041.659358921,196707.076485218,47771.6812348948,421876.237491301
b_t,1955,162181.987558719,205142.35732297,47597.9467188906,423428.724219097
b_t,1956,161166.294473429,222068.297856281,46409.6753964238,423754.535106003
b_t,1957,160529.918705547,196292.225978885,46256.5361092907,430866.103970421
b_t,1958,161377.603218141,193266.51248407,46813.7521783818,404509.472370855
b_t,1959,161266.772536177,202149.914395762,45431.0629263,416100.843745124
b_t,1960,158982.536637423,185333.289330049,44239.1632483881,431518.459063126
b_t,1961,158700.748264984,188672.965085175,44198.2352829232,432584.367571515
b_t,1962,160937.857355447,205661.250342919,45144.0796103955,421515.139197273
b_t,1963,160620.073110966,196764.812378079,45269.3649545418,448321.561522363
b_t,1964,161318.903413547,196979.850730973,46189.1226732472,439065.991072904
b_t,1965,159566.415847593,191237.339919245,44283.8519616539,428326.185889815
b_t,1966,159884.75679418,182543.018979274,46968.0270689914,427486.805801651
b_t,1967,160140.020231124,197035.4212099,46642.4170312542,427355.969645667
b_t,1968,160291.406689028,195912.682841332,46535.4561728246,428066.058119405
b_t,1969,159568.527997255,203648.129927217,45710.4046335509,418647.264443278
b_t,1970,158293.350767451,180798.268568477,44628.1208835109,417441.822109121
b_t,1971,156732.731738202,193462.41895283,44295.8325163304,416827.074798668
b_t,1972,154987.084627942,175250.485954299,43733.7524924737,419317.786421839
b_t,1973,157983.876179368,188327.547780224,45281.4431138014,421643.54238234
b_t,1974,157261.410261382,188129.170553938,46256.1964843544,410694.378031321
b_t,1975,155822.134795236,186500.500350664,43224.2089802759,431832.81903192
b_t,1976,153533.637912297,200375.514400978,40996.3303212449,423352.237408786
b_t,1977,152414.895804895,213851.42801958,39188.6561715942,418387.714041049
b_t,1978,154058.509441787,214898.449668016,38583.8139177673,420133.153391727
b_t,1979,151590.804501549,195718.313138513,37234.4488418522,414095.95751636
b_t,1980,151016.643494424,214733.599717455,37293.0312521515,419852.595957312
b_t,1981,148891.585670225,182611.391405591,37748.0880919658,413947.602201894
b_t,1982,152372.126127567,195762.74937868,38132.3634990661,426609.815123922
b_t,1983,154895.545167673,200296.850266102,41304.4565503667,426190.240924088
b_t,1984,152437.552977172,206442.987355117,38893.4819181977,429867.958467752
b_t,1985,153709.660913185,218743.096760963,40198.0758860117,429159.831538463
b_t,1986,154105.641183123,215577.768306459,39549.6322089833,420207.826295067
b_t,1987,154865.535462679,219442.706861903,38831.6181992129,429094.384123486
b_t,1988,160093.887609226,204796.524298712,40967.6065216981,440524.230742825
b_t,1989,166433.882753151,206186.015494857,43260.3774699267,449147.197795044
b_t,1990,174669.911895394,235261.132534728,44012.6066125806,471505.629474107
b_t,1991,165530.708166605,210283.852085456,42802.0620532446,456463.505600989
b_t,1992,153882.578701953,190511.668176003,40873.2168160375,423670.814978056
b_t,1993,174429.281597088,220049.676821029,43444.0187734426,503195.040493297
b_t,1994,170379.890231558,215975.77958512,43258.1570365299,495622.119641532
b_t,1995,174592.958713483,223277.842003343,43500.692731817,481421.437920184
b_t,1996,139983.046355336,176289.608596642,37699.7279763753,382242.206330656
b_t,1997,160137.33327124,204827.777271867,39559.9437565933,450567.449497017
b_t,1998,159762.105325103,224533.367197592,38194.3584317501,436752.470301996
b_t,1999,156503.970222325,204922.350996757,40719.3366608477,435243.491659604
b_t,2000,148073.186750856,203903.863902779,36989.4171790599,412998.967174279
b_t,2001,160167.654768254,204358.821409552,39996.906676567,455769.188109217
b_t,2002,158955.085501898,202009.867237549,40259.4051531319,463992.353652214
b_t,2003,132727.267285506,177167.334608005,33333.238454636,373175.728452587
b_t,2004,128334.064309558,173739.027747128,30539.8259997458,369738.318568887
b_t,2005,118235.882035683,155479.34027098,27378.4057765332,334841.838309392
b_t,2006,108534.4984195,144496.697254339,25589.2195247567,305276.256812825
b_t,2007,102823.872145551,140984.074504344,23971.7424301612,300594.221661835
b_t,2008,64671.7710213987,82226.424963085,16969.3956536528,185593.134074447
b_t,2009,73544.6983257924,96545.8540837165,17096.2373019634,214278.530424015
b_t,2010,95373.0490054823,142334.967426158,21191.0935303142,271430.689358884
b_t,2011,114026.261792701,194458.624099119,20489.4005607053,342493.162011095
b_t,2012,121507.00917619,178264.549830441,18971.1538762269,352610.620581458
b_t,2013,128519.323496999,204410.797093255,16103.8170473363,371094.69379357
b_t,2014,128853.036313333,210432.004699785,11703.6514524042,382153.716493872
b_t,2015,130242.323572766,191773.189117161,6659.11291680499,400728.872872071
b_t,2016,126903.382000925,185979.336601423,1.22164510767424e-06,376581.645205307
b_t,2017,124700.890533911,185543.219085899,4.53974363035812e-07,399722.699959464
b_t,2018,125282.849317648,193810.10874467,3.43766270939973e-07,409424.277021518
b_t,2019,126092.64253371,203453.964292321,3.45932303512774e-07,412922.579653868
bmsy,1950,86960.6593908218,100762.374396318,28821.449456972,219741.810768512
ck,1950,0.00272676008858143,0.00144511478196099,0.000682622754791746,0.00520445725966194
ck,1951,0.00272676008858143,0.00144511478196099,0.000682622754791746,0.00520445725966194
ck,1952,0.00272676008858143,0.00144511478196099,0.000682622754791746,0.00520445725966194
ck,1953,0.00272676008858143,0.00144511478196099,0.000682622754791746,0.00520445725966194
ck,1954,0.00545352017716287,0.00289022956392198,0.00136524550958349,0.0104089145193239
ck,1955,0.00545352017716287,0.00289022956392198,0.00136524550958349,0.0104089145193239
ck,1956,0.00545352017716287,0.00289022956392198,0.00136524550958349,0.0104089145193239
ck,1957,0.0081802802657443,0.00433534434588297,0.00204786826437524,0.0156133717789858
ck,1958,0.01272488041338,0.00674386898248463,0.00318557285569481,0.0242874672117557
ck,1959,0.0136338004429072,0.00722557390980496,0.00341311377395873,0.0260222862983097
ck,1960,0.0154516405019615,0.00818898376444562,0.00386819561048656,0.0294919244714176
ck,1961,0.0163605605314886,0.00867068869176595,0.00409573652875047,0.0312267435579716
ck,1962,0.0172694805610158,0.00915239361908628,0.00432327744701439,0.0329615626445256
ck,1963,0.01908732062007,0.0101158034737269,0.00477835928354222,0.0364312008176336
ck,1964,0.0199962406495972,0.0105975084010473,0.00500590020180614,0.0381660199041875
ck,1965,0.0145427204724343,0.00770727883712529,0.00364065469222264,0.0277571053848637
ck,1966,0.0154516405019615,0.00818898376444562,0.00386819561048656,0.0294919244714176
ck,1967,0.01272488041338,0.00674386898248463,0.00318557285569481,0.0242874672117557
ck,1968,0.0245408407972329,0.0130060330376489,0.00614360479312571,0.0468401153369574
ck,1969,0.0281765209153415,0.0149328527469302,0.00705376846618137,0.0537793916831733
ck,1970,0.0354478811515586,0.0187864921654929,0.0088740958122927,0.0676579443756052
ck,1971,0.0318122010334501,0.0168596724562116,0.00796393213923703,0.0607186680293893
ck,1972,0.0209051606791243,0.0110792133283676,0.00523344112007005,0.0399008389907415
ck,1973,0.0181784005905429,0.00963409854640661,0.0045508183652783,0.0346963817310796
ck,1974,0.0327665670644536,0.0173654626298979,0.00820285010341414,0.0625402280702709
ck,1975,0.0543625069660185,0.028810771703029,0.0136092223213648,0.103759529566793
ck,1976,0.052771896914346,0.0279677880802184,0.0132110257144029,0.100723596165324
ck,1977,0.0567711450442655,0.0300872897604278,0.0142122057547641,0.108356800146162
