variable,year,mean,sd,lower,upper
b_t,1950,2114513.76703246,2735382.12469822,684814.97867042,6483472.32783054
b_t,1951,2352215.82004529,3284481.60116736,674133.566722289,7239977.25970261
b_t,1952,2477373.60270836,3539612.76107735,687588.775452725,7965781.2771303
b_t,1953,2461689.8383059,3459884.38681602,678997.734459562,7953581.51869629
b_t,1954,2479750.39339871,3581722.63193111,661510.425183458,7860359.35291423
b_t,1955,2449213.14012382,3348869.94500386,663500.679548307,7608993.76038773
b_t,1956,2430994.24141936,3643094.54376677,672240.586167379,7918196.21463574
b_t,1957,2427924.09961007,3175415.70388654,682791.64763067,7511273.07743099
b_t,1958,2372471.47271458,3039410.66149547,642782.364151439,7363574.19753993
b_t,1959,2385877.64197496,3199327.10765406,659492.8492757,7642889.53575147
b_t,1960,2369133.76007387,3000286.04423759,625368.399491768,7673311.51240696
b_t,1961,2352510.66339422,3051238.12875894,612548.060137384,7443085.76727976
b_t,1962,2371048.56923586,3258231.89938059,618569.794745645,7426825.70365492
b_t,1963,2372434.24381278,3545038.8949313,627697.833591346,7525281.67429405
b_t,1964,2399815.31610139,3614439.66730496,625318.973163056,7541647.98648361
b_t,1965,2327295.66295967,3220787.62463184,609629.174525449,7130518.83627704
b_t,1966,2305520.1797162,3121755.75551508,616584.993163497,7388449.44046431
b_t,1967,2332580.31443043,3180640.15829339,611302.400980404,7419073.21958166
b_t,1968,2345371.96710761,3210276.46380112,630662.637206102,7625412.17561874
b_t,1969,2312612.15491791,3633291.5986253,616869.903481106,7239870.06211275
b_t,1970,2272840.68752149,2995276.40852465,604988.738954138,7248834.93855185
b_t,1971,2268141.54170964,2970929.19845364,603167.938613473,7383861.75944273
b_t,1972,2361969.61618028,3490156.07889839,598747.766170405,7477415.01364959
b_t,1973,2363451.57347485,3552707.83925069,633002.380425114,7207940.41019968
b_t,1974,2337041.26134333,3371171.21376835,602424.997940131,7455253.30528996
b_t,1975,2389668.31795873,3450082.82616525,637448.47515719,7957471.43072111
b_t,1976,2348187.34743631,3770592.70594639,584310.893156617,7603885.61332146
b_t,1977,2329625.83347653,3293196.42125281,596731.474818273,7688967.44062475
b_t,1978,2312564.77258537,3629793.94217408,592050.314818232,7046968.49537376
b_t,1979,2369287.85224967,3461040.98012785,624195.698223643,7703568.74160446
b_t,1980,2399650.67505138,3550625.56348391,625688.054502533,7544609.61543579
b_t,1981,2368818.08789966,3311848.83306375,627951.867892107,7491518.92391816
b_t,1982,2397756.58825136,3305117.23281852,638644.981378708,8025035.85774851
b_t,1983,2387216.26912669,3318004.01042957,624278.577812868,7553103.91752963
b_t,1984,2397304.84669895,3446737.81605909,668940.428983415,7652379.57151413
b_t,1985,2404031.85300509,3187009.49507565,679942.101864462,7572554.94237223
b_t,1986,2435526.40573868,3358903.58031861,691851.305878029,7684878.2785704
b_t,1987,2517830.71004606,3633866.42284461,702297.615839862,8439884.9686206
b_t,1988,2589223.5427115,3850313.16517318,755299.048341397,8612912.76807643
b_t,1989,2486753.73054164,3690221.81369918,689177.229779283,7617198.98104672
b_t,1990,2495953.09712732,4143644.20174253,666515.832964579,7555299.36185381
b_t,1991,2479341.81258434,3840186.1530891,672996.266248459,7983041.61949012
b_t,1992,2467359.46199337,3642623.44199265,676721.619088493,8303074.45745924
b_t,1993,2529598.48241295,3944849.80586594,703478.185386761,8164069.65310051
b_t,1994,2611605.48793895,3631599.08455976,709351.11408898,8500592.17655529
b_t,1995,2812190.36210545,4291507.04090423,816748.654482721,9373527.00830911
b_t,1996,2499055.27142292,4021263.67691089,729330.982019078,8154125.41544392
b_t,1997,2498258.07116757,3871197.72613095,721695.444473197,8091811.77021097
b_t,1998,2515076.34974663,3781778.48702307,686793.164461098,8726093.01602667
b_t,1999,2286292.17057594,3655987.15030808,538515.777394899,8169429.20190733
b_t,2000,2169563.12558882,3437626.778132,452814.084586864,8371576.76454047
b_t,2001,2101766.72451707,3555958.40953095,457505.877635272,7577479.84817817
b_t,2002,1967604.10651884,3360381.19571766,412320.850249519,7216963.8726368
b_t,2003,1812000.0171859,3150486.16194742,339561.447543204,7038916.40012619
b_t,2004,1703538.82458675,3179742.66740017,295027.287945445,6900044.92294486
b_t,2005,1551280.71427795,3328916.05799745,189502.727087531,6509358.35271038
b_t,2006,1383956.22522875,2716198.21154393,146354.644394092,5694179.23199262
b_t,2007,1383662.04497529,2969165.80586386,140584.182195338,5771305.79810826
b_t,2008,1515375.73105273,3919481.7250132,140669.456100117,6317764.83391052
b_t,2009,771767.578538827,1319097.76526894,158612.310359717,2933782.12092262
b_t,2010,1017089.543681,1897958.98206256,158776.160367267,4050977.2631319
b_t,2011,1275518.79818427,2460736.46781319,161021.747505597,5131069.73674601
b_t,2012,1483348.60571714,2678203.38817701,178264.332386902,5706943.21749936
b_t,2013,1659599.07973686,2934218.9019887,184980.754931301,6406157.82404334
b_t,2014,1818139.44791128,3419590.87610998,192797.389710276,6610571.96596093
b_t,2015,1896477.24934979,3243722.70951945,193312.218470072,7148960.89775513
b_t,2016,1957340.67683303,3428887.93138052,169937.134727777,7345451.55919862
b_t,2017,1944109.83471577,3421345.12381044,94271.7883379841,7429811.00467271
b_t,2018,1902059.8804394,3172810.78373743,0.00162923350084753,7480782.57686238
b_t,2019,1944431.20215798,3253537.33017236,1.83222294572985e-05,7627152.32715063
bmsy,1950,1399867.81082497,1786778.69525915,471753.048780399,4336275.67477024
ck,1950,0.0105834190324381,0.00531742783595672,0.00196020892692582,0.0180179070991705
